speaker,title,institution,date,link,topic
"Hannaman, Michael",Cirrhotic Cardiomyopathy: Implications for the Perioperative Period,U. Wisconsin,2011-05-04,https://videos.med.wisc.edu/videos/32242,General
"Eger, Edmond",How do Inhaled Anesthetics Work?,U. Wisconsin,2011-04-20,https://videos.med.wisc.edu/videos/31704,General
"Guite, Christopher",Local Anesthetics and Acute Cardiovascular Toxicity: Not All Fat is Bad for the Heart,U. Wisconsin,2011-04-13,https://videos.med.wisc.edu/videos/31556,Regional
"Ikonomidou, Chris","Do Anesthetic, Sedative and Antiepileptic Drugs Interfere with Brain Development?",U. Wisconsin,2011-04-06,https://videos.med.wisc.edu/videos/31172,Pediatric
"Hollatz, Andrew",Perioperative Intravenous Lidocaine Infusion,U. Wisconsin,2011-03-16,https://videos.med.wisc.edu/videos/30206,General
"Eisenach, James",Obstetric Pain - Acute and Chronic,U. Wisconsin,2011-03-09,https://videos.med.wisc.edu/videos/29990,OB
"Konia, Mojca Remskar",TEE of the Unstable Patient,U. Wisconsin,2011-03-02,https://videos.med.wisc.edu/videos/28520,Cardiac
"Galgon, Richard","Unsafe, Effective, or Close Enough? - A Physician's Guide to FDA Medical Device Regulation",U. Wisconsin,2011-02-16,https://videos.med.wisc.edu/videos/27792,Infrastructure
"Schmidt, Christopher",Post-Cesarean Analgesia: Beyond the OR & PACU,U. Wisconsin,2011-01-19,https://videos.med.wisc.edu/videos/26738,OB
"Brooks, Nathanial",Outcome Measures: Selection and Implementation,U. Wisconsin,2011-01-12,https://videos.med.wisc.edu/videos/26688,Infrastructure
"Wolman, Richard",Thou Shalt Not Kill: Execution by Lethal Injection - Does This Differ from Euthanasia and Should Physicians Participate?,U. Wisconsin,2011-01-05,https://videos.med.wisc.edu/videos/26188,Infrastructure
"Lambourne, Kathryn",Ketamine for Post-Op Pain: A Dream or Reality?,U. Wisconsin,2010-12-22,https://videos.med.wisc.edu/videos/26186,General
"Dempsey, Robert","Art, Passion, and Neurosurgery",U. Wisconsin,2010-12-08,https://videos.med.wisc.edu/videos/25926,Neuro
"Schwinn, Debra",Genomics and Medicine: Defining the Vulnerable Patient,U. Wisconsin,2010-12-01,https://videos.med.wisc.edu/videos/24342,General
"Meyer, Cari",Occupational Hazards for the Pregnant Anesthesia Provider,U. Wisconsin,2010-11-17,https://videos.med.wisc.edu/videos/24340,General
"Marks, Erich",Heparin Inducted Thrombocytopenia in the Surgical Patient: Perioperative Consideration,U. Wisconsin,2010-11-10,https://videos.med.wisc.edu/videos/24338,General
"Ralphe, J. Carter",Exploiting Engineered Cardiac Tissue to Understand Neonatal Cardiac Physiology,U. Wisconsin,2010-11-03,https://videos.med.wisc.edu/videos/24326,Pediatric
"Yang, Jay",Immunomodulation by Anesthetics: Does it Matter?,U. Wisconsin,2010-10-13,https://videos.med.wisc.edu/videos/23214,General
"Muldowney, Bridget",Surviving and Thriing with One Pump - Anesthetic Implications of Single Ventricle Congenital Heart Lesions and Fontan Physiology,U. Wisconsin,2010-09-22,https://videos.med.wisc.edu/videos/22224,Pediatric
"Foley, David",Targeting Endogenous Antioxidant Pathways: A Strategy to Minimize Hepatic Ischemia Reperfusion Injury,U. Wisconsin,2010-09-08,https://videos.med.wisc.edu/videos/21348,General
"Hecker, Travis",Postoperative Visual Loss: An Uncommon Problem that Affects the Globe,U. Wisconsin,2010-08-11,https://videos.med.wisc.edu/videos/20666,Neuro
"Schroeder, Kristopher",Full Time Clinician. Part Time Investigator. Misadventures of a Junior Faculty Member Attempting Both,U. Wisconsin,2010-08-04,https://videos.med.wisc.edu/videos/20556,Infrastructure
"Hogan, Quinn",Anatomic Mysteries in Regional Anesthesia,U. Wisconsin,2010-07-21,https://videos.med.wisc.edu/videos/20480,Regional
"Coursin, Douglas",Transfusions and US: Local and Global Perspective,U. Wisconsin,2010-07-14,https://videos.med.wisc.edu/videos/20404,General
"Miletic, Vjekoslav",Shank1 Protein and Sciatic Injury-Associated Pain,U. Wisconsin,2010-06-30,https://videos.med.wisc.edu/videos/20238,Neuro
"Raz, Aeyal",Sedation Induced Changes in the Activity of Neurons in the Sub-Thalamic Nucleus and Basal Ganglia Circuit,U. Wisconsin,2010-06-23,https://videos.med.wisc.edu/videos/20218,Neuro
"Scruggs, Jesse","Disasters, Terrorism, and Critical Care Anesthesiology",U. Wisconsin,2010-06-16,https://videos.med.wisc.edu/videos/20210,Infrastructure
"Fitzpatrick, James",Health Care and Anesthesia in Viet Nam,U. Wisconsin,2010-06-09,https://videos.med.wisc.edu/videos/20080,Infrastructure
"Collins, Mike",To Pre- or Not to Pre-,U. Wisconsin,2010-05-19,https://videos.med.wisc.edu/videos/19918,General
"Wolman, Richard",Controversies in Organ Donation,U. Wisconsin,2010-05-05,https://videos.med.wisc.edu/videos/19512,Infrastructure
"Buchholz, Andrew",Off Pump Coronary Artery Bypass - Revisited!,U. Wisconsin,2010-04-21,https://videos.med.wisc.edu/videos/18710,Cardiac
"Arndt, George","Innovation, Innovators, and Innovation",U. Wisconsin,2010-04-07,https://videos.med.wisc.edu/videos/18416,Infrastructure
"Pearce, Robert",GABA(A) Receptor Modulation as a Mechanism for General Anesthesia,U. Wisconsin,2010-03-03,https://videos.med.wisc.edu/videos/17102,General
"Schroeder, Mark","The Interesting History of Noel A. Gillespie, Anaesthetist",U. Wisconsin,2010-02-18,https://videos.med.wisc.edu/videos/15240,General
"Irwin, Matthew",Obstructive Sleep Apnea,U. Wisconsin,2010-02-17,https://videos.med.wisc.edu/videos/16085,General
"Stephenson, Lianne","IV Acetaminophen: Old Drug, New Vistas",U. Wisconsin,2010-02-10,https://videos.med.wisc.edu/videos/15316,General
"Zapol, Warren",HBOCs (Heme Based Oxygen Carriers): Great Promise and Problems to Solve,U. Wisconsin,2010-02-03,https://videos.med.wisc.edu/videos/14911,General
"Siegal, Eric",Health Care Reform 2010: How the Federal Government is Reshaping Medical Practice,U. Wisconsin,2010-01-13,https://videos.med.wisc.edu/videos/14591,Infrastructure
"Pinney, Tanner",The Anesthesia Guide to Infection Control in the OR: Antibiotic Infusion... and Beyond...,U. Wisconsin,2009-12-16,https://videos.med.wisc.edu/videos/14310,General
"Blake, Jocelyn",Tapping into the Future of Regional Anesthesia: TAP Blocks,U. Wisconsin,2009-11-18,https://videos.med.wisc.edu/videos/13238,Regional
"Hogan, Kirk",Update on Pharmacogenetics and Nitrous Oxide Toxicity,U. Wisconsin,2009-11-11,https://videos.med.wisc.edu/videos/12936,General
"Kheterpal, Sachin",Beyond the Randomized Control Trial: New Techniques for Knowledge Creation,U. Wisconsin,2009-11-04,https://videos.med.wisc.edu/videos/12423,Infrastructure
"Joffee, Aaron",Mmm... That's Good Pee: The Correlation Between Intra-operative Urine Output and Post-operative Renal Function,U. Wisconsin,2009-10-28,https://videos.med.wisc.edu/videos/12032,General
"Perouansky, Misha",Anesthetic Mechanisms: Why We Know So Much and Understand So Little,U. Wisconsin,2009-10-14,https://videos.med.wisc.edu/videos/11900,General
"Laur, John",Standard Work in the ASC Applied to PONV Reduction,U. Wisconsin,2009-09-02,https://videos.med.wisc.edu/videos/10081,General
"Herlache, April",Perioperative Fluid Management,U. Wisconsin,2009-08-19,https://videos.med.wisc.edu/videos/9994,General
"Smith, Lesley",Liposome-Encapsulated Hydromorphone: Pharmacokinetics and Clinical Trials,U. Wisconsin,2009-08-12,https://videos.med.wisc.edu/videos/9831,General
"Angelini, Giuditta",Neurologic Aspects of Breathing,U. Wisconsin,2009-08-05,https://videos.med.wisc.edu/videos/9829,Neuro
"Rice, Mark",The Imaging of Cricoid Pressure: Changing our Thinking about a Long-Standing Maneuver,U. Wisconsin,2009-07-22,https://videos.med.wisc.edu/videos/9704,General
"Kerssens, Chantal",Neuroimaging Anesthetic Effect on Brain Networks,U. Wisconsin,2009-07-15,https://videos.med.wisc.edu/videos/9636,Neuro
"Chen, Herbert",Clinical Research in Parathyroid Disease: Collaborations between Anesthesia and Surgery,U. Wisconsin,2009-07-08,https://videos.med.wisc.edu/videos/9535,General
"Tompkins, Bonnie",Powered Air Purifying Respirator (PAPR) Demonstration,U. Wisconsin,2009-04-29,https://videos.med.wisc.edu/videos/9128,General
"MacIver, Bruce",Basic Science in the OR: How DBS Implant Surgery Informs Us about Anesthetic Actions at GABA Synapses,U. Wisconsin,2009-03-11,https://videos.med.wisc.edu/videos/7984,General
"Lee, HT",New Research in Liver Transplantation,U. Wisconsin,2008-11-12,https://videos.med.wisc.edu/videos/5694,General
